secs,km,power,hr,cad,alt
0,0,120,135,58,367.6
1,0.0042,142,135,66,367.6
2,0.0089,189,135,71,367.6
3,0.0137,115,135,76,367.6
4,0.0186,189,136,74,367.4
5,0.0238,152,136,77,367.2
6,0.029,17,137,77,367
7,0.034,17,137,77,367
8,0.0393,17,137,31,367
9,0.0446,128,137,77,367
10,0.0504,198,137,73,367
11,0.0564,177,137,78,367
12,0.0625,132,137,78,367
13,0.0688,132,137,82,366.6
14,0.0752,187,137,84,366.6
15,0.0818,156,137,74,366.4
16,0.0884,86,138,62,366.4
17,0.095,70,138,73,366.4
18,0.1017,153,138,73,366.8
19,0.1086,153,138,71,366.8
20,0.1156,189,138,71,366.8
21,0.1227,145,138,73,366.8
22,0.13,169,138,75,366.8
23,0.1374,121,138,75,366.6
24,0.1447,121,138,77,366.6
25,0.1521,122,138,77,366.6
26,0.1597,215,138,77,366.6
27,0.1672,122,138,78,366.6
28,0.1747,113,138,78,366.6
29,0.1823,154,138,79,366.6
30,0.1899,111,138,79,366.6
31,0.1974,97,137,79,366.6
32,0.2048,97,137,78,366.6
33,0.2119,63,137,77,366.6
34,0.2191,100,137,75,366.6
35,0.2261,83,137,75,366.4
36,0.2331,83,137,52,366.4
37,0.2402,173,137,74,366.4
38,0.2474,171,137,74,366.4
39,0.2546,203,136,75,366.2
40,0.2617,107,136,75,366.2
41,0.2689,121,137,75,366.2
42,0.276,133,137,75,366
43,0.2831,112,137,74,365.8
44,0.2901,185,137,73,365.8
45,0.2971,256,137,73,365.8
46,0.3043,164,137,73,365.8
47,0.3114,164,137,74,365.8
48,0.3185,169,137,74,365.8
49,0.3256,76,136,74,365.8
50,0.3326,139,136,73,365.8
51,0.3397,162,136,73,365.8
52,0.3466,107,136,73,365.8
53,0.3537,106,136,73,365.8
54,0.3608,133,136,74,365.8
55,0.3678,82,136,73,365.8
56,0.3747,136,136,73,365.8
57,0.3815,59,135,73,365.8
58,0.388,59,134,73,366
59,0.3941,59,134,26,366
60,0.4004,129,133,26,366
61,0.407,129,133,25,366
62,0.4137,290,132,68,366.2
63,0.4205,264,132,70,366.2
64,0.4274,249,133,70,366.2
65,0.4343,249,133,72,366.2
66,0.4411,250,133,72,366.2
67,0.4479,165,133,72,366.4
68,0.4546,145,134,70,366.4
69,0.4612,151,134,70,366.4
70,0.4679,176,134,70,366.4
71,0.4746,237,134,70,366.6
