secs,km,power,hr,cad,alt,cyclist_id,file_name
"","","","","","",00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_10_45_44.csv
0,0.0,82.0,109,65,279.0,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_10_45_44.csv
1,0.0065,110.0,109,78,279.0,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_10_45_44.csv
2,0.0131,80.0,109,77,279.0,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_10_45_44.csv
3,0.0198,246.0,109,78,279.0,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_10_45_44.csv
4,0.0267,180.0,109,78,279.2,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_10_45_44.csv
5,0.0338,180.0,109,79,279.2,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_10_45_44.csv
6,0.0411,172.0,109,79,279.2,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_10_45_44.csv
7,0.0483,307.0,109,80,279.0,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_10_45_44.csv
8,0.0558,304.0,109,80,279.2,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_10_45_44.csv
9,0.0632,304.0,110,82,279.4,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_10_45_44.csv
10,0.0704,123.0,111,81,279.4,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_10_45_44.csv
11,0.0775,25.0,112,75,279.4,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_10_45_44.csv
12,0.0848,56.0,113,75,279.4,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_10_45_44.csv
13,0.0916,56.0,114,75,279.4,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_10_45_44.csv
14,0.0984,56.0,115,40,279.6,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_10_45_44.csv
15,0.1053,218.0,115,76,279.6,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_10_45_44.csv
