secs,km,power,hr,cad,alt,cyclist_id,file_name
49,0.447,89.0,123,91,263.0,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
50,0.4567,84.0,123,90,262.8,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
51,0.4665,90.0,123,90,262.8,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
52,0.4763,90.0,123,90,262.8,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
53,0.486,78.0,123,90,262.8,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
54,0.4957,78.0,123,90,262.8,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
55,0.5053,69.0,123,89,262.8,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
56,0.5149,79.0,123,89,262.4,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
57,0.5246,74.0,123,89,262.4,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
58,0.5342,70.0,122,88,262.4,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
59,0.5438,87.0,122,88,262.4,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
60,0.5533,99.0,122,88,262.4,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
61,0.563,148.0,121,88,262.2,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
62,0.5727,148.0,121,88,262.2,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
63,0.5825,148.0,121,89,262.2,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
64,0.5922,118.0,121,90,262.2,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
65,0.6019,110.0,121,89,262.0,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
66,0.6116,101.0,121,89,262.0,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
67,0.6214,101.0,121,89,262.0,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
68,0.6312,149.0,121,90,262.0,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
69,0.6409,150.0,120,90,262.0,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
70,0.6505,102.0,120,89,262.0,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
71,0.6602,106.0,119,89,261.8,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
72,0.6699,120.0,119,89,261.8,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
73,0.6798,120.0,118,89,261.8,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
74,0.6898,227.0,117,90,261.6,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
75,0.6998,203.0,117,91,261.4,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
76,0.7098,136.0,117,92,261.4,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
77,0.7198,117.0,117,92,261.2,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
78,0.7299,80.0,117,92,261.2,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
79,0.7401,241.0,118,93,261.2,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
80,0.7506,265.0,119,95,261.0,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
81,0.761,146.0,119,95,261.0,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
82,0.7715,146.0,120,86,261.0,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
83,0.7821,231.0,120,86,261.0,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
84,0.7929,231.0,121,86,260.8,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
85,0.8038,279.0,121,87,260.8,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
86,0.8147,241.0,122,89,260.6,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
87,0.8256,190.0,122,89,260.6,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
88,0.8365,157.0,122,89,260.4,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
89,0.8475,230.0,122,90,260.4,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
90,0.8586,236.0,122,91,260.4,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
91,0.8698,156.0,123,91,260.2,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
92,0.8808,148.0,123,91,260.0,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
93,0.8919,86.0,123,91,259.8,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
94,0.9029,86.0,124,91,259.6,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
95,0.914,96.0,124,91,259.4,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
96,0.925,74.0,124,91,259.4,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
97,0.9361,104.0,124,91,259.2,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
98,0.9473,105.0,125,91,259.2,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
99,0.9584,87.0,125,91,259.2,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
100,0.9694,70.0,125,91,259.2,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
101,0.9804,57.0,125,90,259.2,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
102,0.9914,58.0,126,90,259.2,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
103,1.0023,58.0,126,90,259.2,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
104,1.0133,76.0,126,90,259.2,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
105,1.0241,98.0,126,89,259.2,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
106,1.0349,193.0,125,89,259.2,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
107,1.0457,166.0,125,89,259.2,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
108,1.0564,166.0,125,88,259.2,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
109,1.067,125.0,125,88,259.2,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
110,1.0777,122.0,125,87,259.2,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
111,1.0885,141.0,125,87,259.0,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
112,1.0992,141.0,125,88,259.0,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
113,1.11,127.0,126,88,258.8,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
114,1.1207,123.0,126,88,258.8,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
115,1.1314,112.0,127,88,258.8,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
116,1.1421,91.0,127,88,258.8,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
