secs,km,power,hr,cad,alt,cyclist_id,file_name
49,0.3256,76.0,136,74,365.8,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_14_38_29.csv
50,0.3326,139.0,136,73,365.8,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_14_38_29.csv
51,0.3397,162.0,136,73,365.8,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_14_38_29.csv
52,0.3466,107.0,136,73,365.8,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_14_38_29.csv
53,0.3537,106.0,136,73,365.8,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_14_38_29.csv
54,0.3608,133.0,136,74,365.8,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_14_38_29.csv
55,0.3678,82.0,136,73,365.8,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_14_38_29.csv
56,0.3747,136.0,136,73,365.8,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_14_38_29.csv
57,0.3815,59.0,135,73,365.8,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_14_38_29.csv
58,0.388,59.0,134,73,366.0,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_14_38_29.csv
59,0.3941,59.0,134,26,366.0,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_14_38_29.csv
60,0.4004,129.0,133,26,366.0,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_14_38_29.csv
61,0.407,129.0,133,25,366.0,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_14_38_29.csv
62,0.4137,290.0,132,68,366.2,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_14_38_29.csv
63,0.4205,264.0,132,70,366.2,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_14_38_29.csv
64,0.4274,249.0,133,70,366.2,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_14_38_29.csv
65,0.4343,249.0,133,72,366.2,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_14_38_29.csv
66,0.4411,250.0,133,72,366.2,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_14_38_29.csv
67,0.4479,165.0,133,72,366.4,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_14_38_29.csv
68,0.4546,145.0,134,70,366.4,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_14_38_29.csv
69,0.4612,151.0,134,70,366.4,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_14_38_29.csv
70,0.4679,176.0,134,70,366.4,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_14_38_29.csv
71,0.4746,237.0,134,70,366.6,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_14_38_29.csv
72,0.4813,207.0,134,70,366.6,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_14_38_29.csv
73,0.4881,237.0,134,71,366.6,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_14_38_29.csv
74,0.4948,172.0,134,69,366.6,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_14_38_29.csv
75,0.5012,10.0,134,69,366.8,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_14_38_29.csv
76,0.5075,10.0,135,69,367.0,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_14_38_29.csv
77,0.5138,167.0,135,76,367.4,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_14_38_29.csv
78,0.5201,179.0,136,75,367.6,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_14_38_29.csv
79,0.5264,160.0,136,75,367.6,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_14_38_29.csv
80,0.5326,160.0,136,75,367.8,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_14_38_29.csv
81,0.5387,115.0,136,74,367.8,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_14_38_29.csv
82,0.5447,85.0,136,72,368.0,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_14_38_29.csv
83,0.5505,34.0,136,66,368.2,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_14_38_29.csv
84,0.5562,23.0,136,63,368.2,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_14_38_29.csv
85,0.5619,23.0,136,67,368.4,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_14_38_29.csv
86,0.5676,226.0,135,68,368.4,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_14_38_29.csv
87,0.5734,180.0,135,68,368.6,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_14_38_29.csv
88,0.5791,89.0,135,74,368.6,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_14_38_29.csv
89,0.5846,164.0,135,84,368.8,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_14_38_29.csv
90,0.5903,240.0,135,83,368.8,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_14_38_29.csv
91,0.5959,149.0,136,83,368.8,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_14_38_29.csv
92,0.6018,150.0,136,86,369.0,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_14_38_29.csv
93,0.6079,120.0,136,90,369.0,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_14_38_29.csv
94,0.6139,157.0,136,90,369.0,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_14_38_29.csv
95,0.6199,157.0,135,92,369.2,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_14_38_29.csv
96,0.6258,201.0,136,90,369.2,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_14_38_29.csv
97,0.6315,175.0,136,88,369.2,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_14_38_29.csv
98,0.6373,242.0,136,78,369.2,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_14_38_29.csv
99,0.643,253.0,136,78,369.6,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_14_38_29.csv
100,0.6482,253.0,136,77,369.8,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_14_38_29.csv
