secs,km,power,hr,cad,alt
0,0,89,111,74,281.4
1,0.0048,18,111,74,281.8
2,0.0095,18,112,27,281.8
3,0.0146,159,113,75,281.8
4,0.0199,213,113,78,281.8
5,0.0254,148,114,81,282
6,0.031,113,114,83,282
7,0.0366,144,115,84,282
8,0.0423,110,115,85,282.2
9,0.0478,109,116,79,281.4
10,0.0535,128,116,79,281.2
11,0.0593,128,117,78,281
12,0.0651,27,118,78,280.8
13,0.0708,27,119,78,281
14,0.0764,27,120,31,281
15,0.0819,50,120,33,281
16,0.0873,102,120,75,281.2
17,0.0928,137,120,73,281.2
18,0.0981,124,121,74,281.4
19,0.1035,104,121,74,281.4
20,0.109,104,122,74,281.4
21,0.1146,55,122,74,281.4
22,0.12,55,123,74,281.4
23,0.1254,55,123,33,281.4
24,0.1309,142,123,33,281.4
25,0.1364,142,123,73,281.4
26,0.1421,150,123,75,281.4
27,0.1478,133,124,77,281.6
28,0.1537,189,124,79,281.8
29,0.1598,128,124,79,281.6
30,0.1658,128,125,82,281.8
31,0.1719,102,125,82,281.8
32,0.1779,114,126,82,282
33,0.184,91,126,82,282
34,0.1899,91,126,82,282
35,0.1959,82,127,81,282.2
36,0.2018,87,127,81,282.2
37,0.2076,100,127,80,282.4
38,0.2134,65,127,80,282.6
39,0.2191,65,127,79,283
40,0.2248,81,127,78,283.4
41,0.2304,76,127,78,283.6
42,0.2361,76,127,77,283.6
43,0.2418,128,127,77,283.6
44,0.2474,100,128,77,283.2
45,0.253,96,128,77,283.2
46,0.2585,91,128,76,283.2
47,0.264,116,128,75,283.6
48,0.2695,114,128,75,283.8
49,0.2752,114,128,76,283.8
50,0.2808,112,128,77,284
51,0.2864,116,128,77,284
52,0.292,119,128,77,284
53,0.2977,107,129,77,284
54,0.3034,103,129,77,284
55,0.3091,96,129,77,283.8
56,0.3146,90,128,77,284
57,0.3202,90,129,76,284
58,0.3257,95,129,76,284.2
59,0.3312,97,129,75,284.2
60,0.3366,93,129,74,284.2
61,0.3417,0,129,74,284.2
62,0.3466,0,129,74,284
63,0.3513,0,128,0,283.6
64,0.3554,5,128,24,283.4
65,0.3592,157,127,23,283.6
66,0.3635,157,125,23,283.4
67,0.3681,158,124,55,283.6
68,0.3731,275,124,63,283.8
69,0.3786,291,124,70,284
70,0.3845,307,125,75,284
71,0.3907,301,125,81,284
72,0.3971,196,126,81,284
73,0.4035,196,127,86,284
74,0.4101,115,127,88,284
75,0.4167,102,128,89,284
76,0.4234,89,128,90,284
77,0.4303,74,129,91,283.8
78,0.4374,76,129,94,283.8
79,0.4444,69,129,96,283.6
80,0.4513,41,129,88,283.6
81,0.4581,45,129,88,283.6
82,0.465,45,129,83,283.6
83,0.4719,74,129,83,283.6
84,0.4787,66,129,83,283.6
85,0.4855,30,129,78,283.6
86,0.4924,39,129,83,283.6
87,0.4992,76,129,83,283.4
88,0.5062,76,129,83,283.2
89,0.5131,97,128,83,283.2
90,0.5201,84,128,83,283
91,0.5271,107,129,83,283
92,0.5341,107,128,84,283.2
93,0.5412,100,128,84,283.2
94,0.5483,87,128,85,283.2
95,0.5554,96,128,85,283
96,0.5626,89,128,85,283.2
97,0.5697,89,128,86,283.2
98,0.5769,82,128,86,283
99,0.5841,79,128,86,283
100,0.5913,81,129,87,283
101,0.5986,104,129,87,283
102,0.606,104,129,87,282.8
103,0.6133,90,129,88,283
104,0.6206,84,129,88,283
105,0.6279,64,129,87,283.4
106,0.6352,135,129,87,283.8
107,0.6426,135,129,87,283.4
108,0.6499,134,129,88,283
109,0.6573,108,129,88,282.6
110,0.6646,91,129,88,282.6
111,0.672,91,129,88,282.6
112,0.6793,95,130,88,282.4
113,0.6866,107,130,88,282.4
114,0.6939,123,129,88,282
115,0.7013,108,129,88,282
116,0.7085,96,129,88,282
117,0.7159,89,129,87,282
118,0.7231,78,128,87,282
119,0.7304,87,128,87,282
120,0.7378,92,128,87,282
121,0.7451,113,128,87,281.8
122,0.7523,83,128,72,281.8
123,0.7596,79,127,75,282
124,0.767,100,127,77,282
125,0.7743,116,127,77,282.2
126,0.7816,116,127,77,281.8
127,0.7889,111,127,77,281.4
128,0.7963,124,127,77,281.2
129,0.8036,106,127,77,281.2
130,0.8108,90,127,77,281.4
131,0.818,76,127,76,281.2
132,0.8253,88,127,76,281
133,0.8326,118,127,76,281.2
134,0.8399,138,127,77,281
135,0.8472,112,126,77,281
136,0.8545,112,126,77,281
137,0.8618,106,126,76,281.2
138,0.8691,120,126,76,281.2
139,0.8765,119,127,77,280.8
140,0.8838,101,127,77,280.8
141,0.891,101,127,77,280.6
142,0.8983,85,127,76,280.6
143,0.9055,79,127,76,280.4
144,0.9126,72,127,75,280.4
145,0.9197,89,127,75,280.4
146,0.9268,94,127,75,280.4
147,0.9339,118,127,75,280.4
148,0.9411,141,127,75,280.4
149,0.9482,135,127,75,280.2
150,0.9553,118,127,75,280
151,0.9624,83,127,75,280
152,0.9695,121,127,74,280
153,0.9767,124,127,75,280.2
154,0.9837,99,127,75,280.2
155,0.9908,93,127,75,280.2
156,0.9979,93,127,74,280.2
157,1.005,93,127,74,280.6
158,1.0121,94,126,75,280.4
159,1.0193,87,127,75,280.4
160,1.0265,68,127,75,280.4
161,1.0336,68,127,75,280.4
162,1.0407,90,127,75,280.2
163,1.0482,213,127,75,280.2
164,1.0561,318,127,79,279.8
165,1.064,233,127,82,279.8
166,1.072,121,128,83,279.8
167,1.0801,208,128,84,280.2
168,1.0884,144,128,86,280.2
169,1.0965,113,128,86,280
170,1.1047,89,128,86,280
171,1.1128,92,129,85,279.6
172,1.1209,103,129,85,279.8
173,1.129,109,129,85,279.8
174,1.1371,115,129,85,279.8
175,1.1453,92,129,85,279.8
176,1.1535,92,129,86,279.8
177,1.1617,88,129,86,279.4
178,1.1699,80,129,86,279.2
179,1.1781,96,129,86,279.4
180,1.1864,82,129,86,279.2
181,1.1946,82,129,87,279
182,1.2029,70,129,87,278.6
183,1.2111,77,128,86,279.8
184,1.2194,138,128,86,280.2
185,1.2278,138,129,87,279.4
186,1.2362,105,129,88,279
187,1.2447,90,130,88,278.8
188,1.2531,91,130,89,278.4
189,1.2616,94,130,89,278.6
190,1.2701,98,130,89,278.6
191,1.2786,84,131,89,278.4
192,1.2871,99,131,89,278.4
193,1.2957,94,131,90,278.4
194,1.3043,88,131,90,278
195,1.3128,88,131,90,277.6
196,1.3214,87,131,90,277.8
197,1.3298,88,131,89,277.4
198,1.3381,88,131,88,277.8
199,1.3465,93,131,88,277.4
200,1.3549,93,131,88,277
201,1.3633,98,130,88,277.2
202,1.3717,84,129,88,277.2
203,1.3799,84,129,87,277
204,1.3882,81,129,87,277.2
205,1.3963,75,129,87,276.8
206,1.4044,68,129,86,277
207,1.4124,64,129,85,276.6
208,1.4204,70,129,85,276.6
209,1.4284,70,129,84,276.6
