cyclist_id,file_name,total_time_sec,total_dist_km,avg_power,avg_alt,v_index
00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_27_11_42_30.csv,13889.0,87.0368,151.472,492.167,1.233
00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv,8418.0,74.7925,166.914,238.893,1.109
00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_31_11_41_37.csv,11874.0,73.5297,166.98,557.328,1.245
00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_10_45_44.csv,1735.0,13.603,172.399,331.297,1.153
00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_01_14_38_29.csv,1642.0,13.6074,158.352,354.126,1.111
00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_02_10_07_37revised.csv,26236.0,134.921,152.208,805.236,1.181
00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_05_16_19_08.csv,8481.0,50.4547,163.338,456.471,1.247
00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_09_10_04_00revised.csv,33620.0,180.884,160.717,676.41,1.23
00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_10_14_14_05.csv,8456.0,62.6404,124.834,259.592,1.092
00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_13_16_17_26.csv,12498.0,76.4741,165.46,550.641,1.254
00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_16_12_54_02revised.csv,17246.0,96.0971,155.195,691.659,1.229
00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_06_17_10_40_04.csv,24069.0,144.745,156.807,835.051,1.167
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,1915_09_23_11_35_00.csv,4264.0,31.9465,173.977,78.385,1.101
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_05_12_16_14_21.csv,6234.0,45.9088,156.897,94.445,1.294
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_05_16_09_53_07.csv,10756.0,86.0434,199.697,554.964,1.173
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_05_17_13_14_02.csv,6988.0,55.4364,200.503,567.886,1.204
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_05_18_16_15_22.csv,6792.0,51.9689,198.044,474.47,1.159
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_05_19_15_12_06.csv,4466.0,34.8818,191.532,474.529,1.19
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_05_20_12_41_45.csv,9954.0,76.9856,206.367,459.439,1.137
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_05_21_11_37_50.csv,9228.0,72.1926,209.506,464.266,1.17
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_05_23_14_32_39.csv,6085.0,49.6021,220.458,509.624,1.182
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_05_24_10_31_16.csv,6222.0,49.6281,222.067,467.547,1.216
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_05_28_12_12_42.csv,6378.0,49.572,192.213,519.373,1.176
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_05_29_10_37_18.csv,6345.0,49.6324,202.328,564.023,1.129
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_05_30_11_48_59.csv,9228.0,73.9109,212.056,482.343,1.164
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_06_01_16_56_35.csv,7047.0,52.4649,200.667,448.52,1.228
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_06_02_15_19_08.csv,3768.0,28.7103,190.126,372.831,1.189
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_06_03_15_20_09.csv,8799.0,71.5689,217.781,356.635,1.15
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_06_04_13_38_36.csv,9010.0,71.8305,210.921,380.182,1.182
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_06_05_10_43_58.csv,6253.0,49.5952,207.446,387.004,1.116
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_06_06_14_23_43.csv,5888.0,48.5244,184.362,345.531,1.166
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_06_07_13_22_22.csv,6467.0,52.0035,210.554,381.505,1.17
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_06_08_12_24_59.csv,12010.0,99.1653,210.861,404.02,1.13
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_06_09_13_05_00.csv,7071.0,56.4816,204.996,439.471,1.196
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_06_11_12_51_25.csv,6430.0,49.5922,191.91,416.542,1.168
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_06_12_11_28_39.csv,8960.0,72.0109,205.02,387.717,1.151
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_06_13_11_45_04.csv,13332.0,103.543,201.537,409.95,1.165
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_06_16_16_41_02.csv,6036.0,51.667,202.258,383.954,1.22
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_06_17_13_46_01.csv,13202.0,101.649,191.297,425.627,1.145
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_06_19_13_31_08.csv,6362.0,49.5079,185.026,443.841,1.191
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_06_21_14_12_55.csv,6632.0,51.9526,206.961,431.695,1.262
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_06_22_13_17_09.csv,9757.0,76.1369,203.81,416.258,1.116
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_06_23_13_58_00.csv,13606.0,108.927,214.986,430.938,1.133
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_06_24_12_26_08.csv,4326.0,26.0981,131.608,373.402,1.079
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_06_26_11_45_39.csv,6946.0,52.0092,197.793,342.722,1.13
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_06_27_15_47_42.csv,6666.0,51.9812,205.006,376.912,1.228
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_06_28_15_09_13.csv,6495.0,51.9628,206.688,396.714,1.194
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_06_30_12_05_58.csv,6830.0,51.9335,199.323,364.246,1.206
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_07_01_11_29_30.csv,6331.0,51.9057,228.462,404.298,1.161
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_07_02_11_36_37.csv,6715.0,51.9384,207.92,420.565,1.203
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_07_03_12_02_42.csv,6550.0,51.9078,208.6,465.688,1.09
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_07_04_12_37_41.csv,3894.0,28.6295,153.938,355.576,1.162
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_07_06_18_04_30.csv,5757.0,45.8182,161.135,-16.949,1.146
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_07_07_08_57_32.csv,5773.0,45.5109,184.786,-35.14,1.23
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_07_08_17_28_44.csv,6451.0,56.1934,191.225,-19.051,1.033
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_07_09_18_06_23.csv,6772.0,56.1888,185.328,28.349,1.029
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_07_10_17_59_35.csv,6419.0,58.3185,223.831,41.649,1.038
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_07_11_17_17_11.csv,6604.0,58.3194,217.802,35.463,1.046
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_07_13_18_01_00.csv,5603.0,48.5648,213.873,29.838,1.08
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_07_14_17_29_33.csv,5704.0,48.6262,207.795,27.829,1.17
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_07_16_11_47_05.csv,8844.0,74.8319,220.879,345.075,1.055
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_07_17_11_59_12.csv,6388.0,51.9977,210.95,359.438,1.132
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_07_18_17_53_26.csv,6231.0,51.9756,223.691,366.555,1.167
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_07_19_17_28_25.csv,6285.0,51.9776,227.445,390.092,1.105
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_07_20_17_49_26.csv,7417.0,58.7271,197.058,369.774,1.224
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_07_21_11_36_43.csv,11608.0,94.7668,206.507,354.057,1.126
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_07_22_12_55_33.csv,6596.0,51.9691,209.237,406.828,1.167
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_07_23_12_48_13.csv,4090.0,31.6937,204.196,433.373,1.126
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_07_24_13_32_17.csv,6869.0,51.9353,190.325,441.171,1.146
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_07_25_13_44_35.csv,6288.0,51.9317,224.472,414.051,1.117
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_07_26_13_24_23.csv,6245.0,51.9675,220.251,423.593,1.14
